Employee_code,Employee_Name,Employee_Surname,DOB,Date_of_Joining,Designation,Grade,PF_No,PAN,Bank_Name,Account_No.,Basic_Salary,House_Rent_Allowance,Medical _Allowance,Travel_Allowance,Lunch_Allowance,Bus_Deduction,  PF,Gross_Earnings,Gross_Deduction,Net_Pay
966732,XX,X,12071977,28022015,TEAM LEAD,5,UJFRT68368457238471,SRDFU6586K,ICICI,5.88476E+11,32790.00,16395.00,1000.00,1000.00,250.00,1100.00,4098.75,51435.00,5198.75,46236.25
966733,YY,Y,5091980,60032017,SENIOR EXECUTIVE,4,GJHIT483721568742543,NHUGYF5488T,ICICI,7.34819E+11,27037.00,13518.50,1000.00,1000.00,250.00,1100.00,3379.63,42805.50,4479.63,38325.88
966734,ZZ,Z,19041972,20072011,GENERAL MANAGER,7,ESRCH473743657571305,EDYFY5836J,ICICI,6.85946E+11,42000.00,21000.00,1000.00,1000.00,250.00,1100.00,5250.00,65250.00,6350.00,58900.00
966735,AA,A,9071988,10032008,EXECUTIVE,3,GYFVB898565641545483,GGJHJ7542L,ICICI,5.48665E+11,24500.00,12250.00,1000.00,1000.00,250.00,1100.00,3062.50,39000.00,4162.50,34837.50
966736,GG,G,7041990,15062010,EXECUTIVE,3,HJHJB545421878462625,RDGCF5632G,ICICI,4.85645E+11,24500.00,12250.00,1000.00,1000.00,250.00,1100.00,3062.50,39000.00,4162.50,34837.50
966737,HH,H,14051986,25052004,EXECUTIVE,3,DFASE787876546565447,FTFTJ2642H,ICICI,7.87854E+11,24500.00,12250.00,1000.00,1000.00,250.00,1100.00,3062.50,39000.00,4162.50,34837.50
966738,TT,T,12081988,30062007,EXECUTIVE,3,HBHVF564436647946464,HFYFC2654D,ICICI,5.97846E+11,24500.00,12250.00,1000.00,1000.00,250.00,1100.00,3062.50,39000.00,4162.50,34837.50
966739,JJ,J,4121976,25102008,SENIOR LEAD EXECUTIVE,5,BHFGC444878742145778,VDJGY5648F,ICICI,8.78546E+11,32790.00,16395.00,1000.00,1000.00,250.00,1100.00,4098.75,51435.00,5198.75,46236.25
966740,LL,L,18031980,23092015,SENIOR EXECUTIVE,4,PIOIO487454654695989,GJFYC4543G,ICICI,4.84688E+11,27037.00,13518.50,1000.00,1000.00,250.00,1100.00,3379.63,42805.50,4479.63,38325.88
966741,SS,S,27071977,10052010,MANAGER,6,EDRUG475464878454842,VGDTD3563I,ICICI,4.58452E+11,35500.00,17750.00,1000.00,1000.00,250.00,1100.00,4437.50,55500.00,5537.50,49962.50
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,,
